frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
8.000000000000028422e+00,9.816620097917591181e+01,1.000000000000000000e+00,2.879156614429966288e-01
8.285714285714316674e+00,9.897946059809646613e+01,1.000000000000000000e+00,1.267385339508361186e-01
8.571428571428603149e+00,9.915597424836224150e+01,1.000000000000000000e+00,1.587495745060132912e-01
8.857142857142889625e+00,9.766223060406504430e+01,1.000000000000000000e+00,2.774553102751288747e-01
9.142857142857176100e+00,9.512643273623436357e+01,1.000000000000000000e+00,4.022755679267317475e-01
9.428571428571462576e+00,9.227130403668330416e+01,1.000000000000000000e+00,3.907804649279821851e-01
9.714285714285749052e+00,9.021289054771813198e+01,1.000000000000000000e+00,5.371388719759426778e-01
1.000000000000003553e+01,8.873041934553651799e+01,1.000000000000000000e+00,1.756750672149406944e-01
1.028571428571432378e+01,8.730095088837295236e+01,1.000000000000000000e+00,4.498605749556405242e-01
1.057142857142861025e+01,8.614734757685631905e+01,1.000000000000000000e+00,4.345907744697800612e-01
1.085714285714289673e+01,8.541356997882463986e+01,1.000000000000000000e+00,5.239348787838670196e-01
1.114285714285718321e+01,8.494925962045890344e+01,1.000000000000000000e+00,4.807575145192216626e-01
1.142857142857146968e+01,8.436267136891551388e+01,1.000000000000000000e+00,4.557217368639884247e-01
1.171428571428575616e+01,8.430142490695631352e+01,1.000000000000000000e+00,4.947462365188675104e-01
1.200000000000004441e+01,8.500741689991667727e+01,1.000000000000000000e+00,3.541687701382070230e-01
1.228571428571433088e+01,8.607907667709180544e+01,1.000000000000000000e+00,4.114258413358954924e-01
1.257142857142861736e+01,8.692627415617249653e+01,1.000000000000000000e+00,4.824629746321058010e-01
1.285714285714290384e+01,8.684865094941783070e+01,1.000000000000000000e+00,4.251187378447336962e-01
1.314285714285719031e+01,8.532803558563827551e+01,1.000000000000000000e+00,3.985402226096631528e-01
1.342857142857147679e+01,8.212118759734696027e+01,1.000000000000000000e+00,4.250933004090335365e-01
1.371428571428576504e+01,7.725922121117733354e+01,1.000000000000000000e+00,3.791478760491224786e-01
1.400000000000005151e+01,7.233581499174368901e+01,1.000000000000000000e+00,3.382218027366142299e-01
1.428571428571433799e+01,6.954421238217565815e+01,1.000000000000000000e+00,2.847094621190485730e-01
1.457142857142862447e+01,7.047836391589559923e+01,1.000000000000000000e+00,3.641266282639170626e-01
1.485714285714291094e+01,7.383398784235050982e+01,1.000000000000000000e+00,3.648144251562346896e-01
1.514285714285719742e+01,7.809432641380919904e+01,1.000000000000000000e+00,3.758526050337354651e-01
1.542857142857148389e+01,8.203927790172691914e+01,1.000000000000000000e+00,3.643911042684924162e-01
1.571428571428577214e+01,8.544235252874229047e+01,1.000000000000000000e+00,4.418033413179683899e-01
1.600000000000005684e+01,8.866971911984757071e+01,1.000000000000000000e+00,2.842879901641497953e-01
1.628571428571434510e+01,9.135797374570660168e+01,1.000000000000000000e+00,2.550554864461295757e-01
1.657142857142863335e+01,9.342052274640165876e+01,1.000000000000000000e+00,3.220547747009127049e-01
1.685714285714291805e+01,9.499375141565242586e+01,1.000000000000000000e+00,3.247744861515766690e-01
1.714285714285720630e+01,9.676061842668498514e+01,1.000000000000000000e+00,3.656927496871458794e-01
1.742857142857149100e+01,9.913525019772519897e+01,1.000000000000000000e+00,2.750065452823362566e-01
1.771428571428577925e+01,1.008516528730077368e+02,1.000000000000000000e+00,3.060727300599440093e-01
1.800000000000006395e+01,1.016736560994005458e+02,1.000000000000000000e+00,3.191072323315514159e-01
1.828571428571435220e+01,1.018002960210480694e+02,1.000000000000000000e+00,3.550265039860394101e-01
